attack_type,dataset,iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy
fg_betweenness,CiteSeer,1,0.0,0.0,0.0,0.0,0.0,0.692,0.238
fg_betweenness,CiteSeer,2,1.3138892650604248,14.124814987182617,28.0,0.17629128694534302,831596.875,0.692,0.202
fg_betweenness,CiteSeer,3,2.6852307319641113,20.288782119750977,56.0,0.24721471965312958,824766.0,0.692,0.185
fg_betweenness,CiteSeer,4,3.5941214561462402,22.903425216674805,92.0,0.3090723752975464,791952.125,0.691,0.185
fg_betweenness,CiteSeer,5,3.5873608589172363,22.877971649169922,94.0,0.3123513162136078,794321.75,0.691,0.185
fg_betweenness,CiteSeer,6,3.718165636062622,24.434288024902344,106.0,0.33212220668792725,954415.0,0.691,0.185
fg_betweenness,CiteSeer,7,3.7401397228240967,24.473636627197266,118.0,0.34995797276496887,1051075.0,0.691,0.185
fg_betweenness,CiteSeer,8,3.7401397228240967,24.473636627197266,118.0,0.34995797276496887,1051075.0,0.691,0.185
fg_betweenness,CiteSeer,9,3.7345147132873535,24.457956314086914,120.0,0.3526778817176819,1049090.5,0.691,0.185
fg_betweenness,CiteSeer,10,4.454240798950195,28.017499923706055,156.0,0.4024142622947693,1345270.75,0.693,0.183
fg_betweenness,CiteSeer,11,4.823064804077148,29.789928436279297,178.0,0.4298652708530426,1425267.125,0.692,0.183
fg_betweenness,CiteSeer,12,5.541395664215088,31.67731475830078,194.0,0.44202569127082825,1585025.0,0.692,0.183
fg_betweenness,CiteSeer,13,5.57747745513916,31.78725814819336,202.0,0.45119065046310425,1614260.375,0.692,0.183
fg_betweenness,CiteSeer,14,5.7083740234375,33.256534576416016,214.0,0.46508005261421204,1621983.5,0.692,0.183
fg_betweenness,CiteSeer,15,6.2932353019714355,36.083045959472656,240.0,0.4902951419353485,1634948.875,0.692,0.183
fg_betweenness,CiteSeer,16,6.585817813873291,37.46654510498047,268.0,0.5186623930931091,1746351.25,0.692,0.183
fg_betweenness,CiteSeer,17,6.585817813873291,37.46654510498047,268.0,0.5186623930931091,1746351.25,0.692,0.183
fg_betweenness,CiteSeer,18,6.653511047363281,38.5063591003418,272.0,0.5228144526481628,1752723.5,0.692,0.183
fg_betweenness,CiteSeer,19,6.653511047363281,38.5063591003418,272.0,0.5228144526481628,1752723.5,0.692,0.183
fg_betweenness,CiteSeer,20,6.787007808685303,39.711395263671875,290.0,0.5403506755828857,1903312.0,0.692,0.183
fg_betweenness,CiteSeer,21,6.982509136199951,41.423072814941406,306.0,0.5558348894119263,1929865.125,0.692,0.183
fg_betweenness,CiteSeer,22,6.965661525726318,41.08110427856445,312.0,0.5610905289649963,1944619.125,0.692,0.183
fg_betweenness,CiteSeer,23,6.965661525726318,41.08110427856445,312.0,0.5610905289649963,1944619.125,0.692,0.183
fg_betweenness,CiteSeer,24,7.2613067626953125,42.40336608886719,336.0,0.582669198513031,2038855.75,0.691,0.183
fg_betweenness,CiteSeer,25,7.382095813751221,42.67290115356445,352.0,0.5964943766593933,2089304.0,0.691,0.201
fg_betweenness,CiteSeer,26,7.772343635559082,44.7624626159668,380.0,0.6176698803901672,2132666.0,0.691,0.201
fg_betweenness,CiteSeer,27,7.781238555908203,44.77450180053711,384.0,0.62093186378479,2127712.0,0.69,0.201
fg_betweenness,CiteSeer,28,7.7889227867126465,44.78771209716797,388.0,0.6241768002510071,2139884.5,0.689,0.201
fg_betweenness,CiteSeer,29,7.847548961639404,44.94994354248047,396.0,0.6306737065315247,2145345.0,0.689,0.201
fg_betweenness,CiteSeer,30,8.055617332458496,46.590576171875,410.0,0.6422650218009949,2219413.0,0.689,0.212
fg_betweenness,CiteSeer,31,8.445074081420898,49.00675964355469,434.0,0.6611741781234741,2240831.0,0.689,0.211
fg_betweenness,CiteSeer,32,8.547136306762695,49.384952545166016,442.0,0.6673790812492371,2255443.0,0.689,0.211
fg_betweenness,CiteSeer,33,8.653088569641113,50.1019287109375,450.0,0.6735529899597168,2296451.25,0.689,0.211
fg_betweenness,CiteSeer,34,9.106500625610352,51.95591735839844,482.0,0.6976490616798401,2267020.5,0.689,0.211
