attack_type,dataset,iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy
random,Cora,1,0.0,0.0,0.0,0.0,0.0,0.809,0.264
random,Cora,2,0.13649871945381165,1.0228396654129028,20.0,0.14206749200820923,50453.6796875,0.809,0.263
random,Cora,3,0.14991247653961182,1.0205880403518677,28.0,0.16800330579280853,75390.828125,0.809,0.263
random,Cora,4,0.18890446424484253,1.0972899198532104,44.0,0.21062874794006348,101534.8046875,0.809,0.263
random,Cora,5,0.23225978016853333,1.1357601881027222,56.0,0.23760774731636047,134011.78125,0.809,0.264
random,Cora,6,0.21685157716274261,1.3722482919692993,62.0,0.2500440180301666,139447.875,0.809,0.263
random,Cora,7,0.25378018617630005,1.493025779724121,78.0,0.2802828252315521,170130.5625,0.81,0.262
random,Cora,8,0.27742746472358704,1.5714614391326904,86.0,0.29431381821632385,184200.109375,0.81,0.26
random,Cora,9,0.30972206592559814,1.6031795740127563,100.0,0.3173837959766388,189809.296875,0.808,0.26
random,Cora,10,0.34628480672836304,2.0330560207366943,116.0,0.3421057164669037,202434.375,0.808,0.26
random,Cora,11,0.3576848804950714,2.371302843093872,124.0,0.35378119349479675,209871.921875,0.808,0.26
random,Cora,12,0.36299780011177063,2.3665659427642822,126.0,0.35660505294799805,222524.484375,0.808,0.26
random,Cora,13,0.39009708166122437,2.387779474258423,138.0,0.37316185235977173,278405.9375,0.808,0.261
random,Cora,14,0.4303444027900696,2.6642003059387207,158.0,0.3996564745903015,330667.75,0.809,0.261
random,Cora,15,0.4901503622531891,3.333869457244873,178.0,0.4243670701980591,337917.3125,0.809,0.261
random,Cora,16,0.5029881596565247,3.350862503051758,190.0,0.43838825821876526,346703.25,0.809,0.261
random,Cora,17,0.5423206090927124,3.3955767154693604,206.0,0.45639991760253906,398256.34375,0.81,0.262
random,Cora,18,0.5469077229499817,3.9263038635253906,214.0,0.46551597118377686,403696.53125,0.81,0.261
random,Cora,19,0.600033164024353,4.853456020355225,234.0,0.4869408905506134,432645.125,0.81,0.262
random,Cora,20,0.6335106492042542,4.885960102081299,246.0,0.4991946816444397,556794.0,0.809,0.262
random,Cora,21,0.6426069736480713,4.791126728057861,246.0,0.4991544783115387,561011.875,0.809,0.262
