iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy,dataset,attack_type
1,-0.008477661445352336,-0.3984453427976701,0.2367479789657867,-0.34237881657529556,0.14932235202287936,0.9189910170428113,0.8563009904346963,PubMed,random
2,0.519433139377388,-0.366597737124003,0.14341168671851479,-0.030598172587592454,-0.14666917736061535,0.9085714446358473,0.8584083254324828,PubMed,random
3,0.4135776939104052,-0.3726681428887292,0.6501350095105115,0.26371980729429456,0.26343527489551044,0.9058497861169077,0.8530417883791186,PubMed,random
4,0.5296545624793823,0.2905472608808304,1.3117063096577741,0.06749511014264586,0.05950050005322638,0.8907439169462797,0.851766675875882,PubMed,random
5,1.1168862202199916,0.5333446913811615,1.417533594151677,0.7000910379823083,-0.12435203428865904,0.8942391870226121,0.8334455075172881,PubMed,random
6,1.5963659818050617,0.5987370252197345,1.5610374450079,1.3246614203787903,0.3978797180915864,0.8889673713334012,0.8265512606278217,PubMed,random
7,1.335829008124985,0.5827632538706043,1.9541464992581008,1.6130729605248941,0.9591842528747709,0.8727262891322144,0.8256893176972168,PubMed,random
8,1.1814925831705887,1.0766569224867006,2.4301252189001534,1.723118891064861,0.7427991880619812,0.8807115663696403,0.8222190571499233,PubMed,random
9,1.3015996984813347,0.9756754923563352,2.3248230552598232,2.148644974241213,0.850992607868525,0.8789282959014405,0.8199244520523747,PubMed,random
10,1.2860620371928229,1.0019767233672296,2.6205731229622193,2.030523365146739,0.7084792709868907,0.8622425204676104,0.8213391056816985,PubMed,random
11,1.3283446427965568,1.2956386896040675,2.5337407688687783,1.9183562668467773,0.5565353011938852,0.867353145890551,0.8129986809563142,PubMed,random
12,1.4333005118653035,1.3328828915559532,2.8690650797918487,1.8026590874614628,0.9672319209910217,0.8594275952866323,0.7966596066201271,PubMed,random
13,2.0882556299562967,1.8213140540559785,2.656353234783181,1.7927780482489633,1.4195111292600147,0.855754389007222,0.7994974528722797,PubMed,random
14,1.8651318937805486,1.5599652519066662,2.861898548515875,2.4185398832328566,1.1812831656369371,0.845530019403099,0.7984286225771525,PubMed,random
15,2.00000351615416,1.3725115557991254,3.3189201953631593,2.4035521904932597,1.6611279396067595,0.8416032843222571,0.7798374104760989,PubMed,random
16,2.4487064559012266,1.2268496478347675,3.233773740374736,2.721869497166655,2.1537592844595084,0.8411862419335747,0.7832218139381041,PubMed,random
17,2.136900481561602,1.6873963884707028,3.528619890235278,3.367044172412747,2.403460094281888,0.8202859715116239,0.7863472389160576,PubMed,random
18,2.3304130644682677,1.400370805334139,4.154623750210222,3.2330596052316194,2.935024062034785,0.8325761371799715,0.7737779472836758,PubMed,random
19,2.77642230010298,1.2190216879430897,4.670297722445937,3.794262920050351,2.6650055104203942,0.8131082879821335,0.765910534507099,PubMed,random
20,2.8521032136849063,1.0578656860693392,4.810840190792238,3.863142651686395,2.561187594587241,0.8128087664330932,0.767999874261468,PubMed,random
21,3.4349773211279366,1.0695002437969858,4.630217595740637,4.169572635968738,2.3816940993551454,0.7983774201536193,0.749470002499891,PubMed,random
22,3.7694879690325984,1.353829082404459,4.75814786741784,4.521583903395289,2.637833718841048,0.7951751901006219,0.7516002914357286,PubMed,random
23,3.5714945392673,1.4168737544443757,4.905516070210884,5.1100728773808894,3.025399188967577,0.7939470532860388,0.7414952605033758,PubMed,random
24,4.035021586981263,1.928506720410594,5.491137539586577,4.893898579154551,3.200710229160887,0.7894269345732113,0.7414947653544807,PubMed,random
25,4.362197261554861,2.4724577452953276,5.796526346994217,4.702021829023372,3.7668087599188964,0.7919805636221839,0.7431342682651307,PubMed,random
26,4.525822503704193,2.57456444401455,5.472586543324813,4.428335599856161,4.055899296305751,0.7793500999013616,0.7294626470163456,PubMed,random
